"Unique ID ","Parent","Name","Tier 1 Parent","Tier (1-4)","Important to NBCU","AG NOTES","Additional signals (e.g., objects, scene settings)","Object signals","Scene signals","Example Advertiser Industry","Logo signals","Explicit Triggers","Date Selected",""
"394","393","Government Support and Welfare","Personal Finance","3","N","","","","","","","","",""
"395","393","Student Financial Aid","Personal Finance","3","N","","","","","","","","",""
"396","391","Financial Planning","Personal Finance","2","N","","","","","","","","",""
"397","391","Frugal Living","Personal Finance","2","N","","","","","","","","",""
"398","391","Insurance","Personal Finance","2","N","","","","","","logos for all relevant brands","","",""
"399","398","Health Insurance","Personal Finance","3","N","","","","","","","","",""
"400","398","Home Insurance","Personal Finance","3","N","","","","","","","","",""
"401","398","Life Insurance","Personal Finance","3","N","","","","","","","","",""
"402","398","Motor Insurance","Personal Finance","3","N","","","","","","","","",""
"403","398","Pet Insurance","Personal Finance","3","N","","","","","","","","",""
"404","398","Travel Insurance","Personal Finance","3","N","","","","","","","","",""
"405","391","Personal Debt","Personal Finance","2","N","","","","","","","","",""
"406","405","Credit Cards","Personal Finance","3","N","","","","","","logos for all relevant brands","","",""
"407","405","Home Financing","Personal Finance","3","N","","","","","","","","",""
"408","405","Personal Loans","Personal Finance","3","N","","","","","","","","",""
"409","405","Student Loans","Personal Finance","3","N","","","","","","","","",""
"410","391","Personal Investing","Personal Finance","2","N","","","","","","","","",""
"411","410","Hedge Funds","Personal Finance","3","N","","","","","","","","",""
"412","410","Mutual Funds","Personal Finance","3","N","","","","","","","","",""
"413","410","Options","Personal Finance","3","N","","","","","","","","",""
"414","410","Stocks and Bonds","Personal Finance","3","N","","","","","","","","",""
"415","391","Personal Taxes","Personal Finance","2","N","","","","","","","","",""
"416","391","Retirement Planning","Personal Finance","2","N","","","","","","","","",""
"417","391","Home Utilities","Personal Finance","2","N","","","","","","","","",""
"418","417","Gas and Electric","Personal Finance","3","N","","","","","","","","",""
"419","417","Internet Service Providers","Personal Finance","3","N","","","","","","logos for all relevant brands","","",""
"420","417","Phone Services","Personal Finance","3","N","","","","","","logos for all relevant brands","","",""
"421","417","Water Services","Personal Finance","3","N","","","","","","","","",""
"3","2","Commercial Trucks","Automotive","3","Y","","","truck","","Automotive","","","3/9/2021",""
"4","2","Sedan","Automotive","3","Y","","","sedan","","Automotive","","","3/9/2021",""
"5","2","Station Wagon","Automotive","3","Y","","","wagon","","Automotive","","","3/9/2021",""
